creeb_applicable,creeb_audience,creeb_azsknownissueid,creeb_cause,creeb_contact,creeb_datefiled,creeb_datereviewed,creeb_feature,creeb_id,importsequencenumber,creeb_status,creeb_occurance,creeb_remediation,statuscode,statecode,timezoneruleversionnumber,creeb_title,creeb_trackingnumber,utcconversiontimezonecode,versionnumber,owningbusinessunit
This issue applies to all supported releases.,Operator,87bc45b7-ebb0-ea11-a812-000d3a5465d8,"The two administrative subscriptions that were introduced with version 1804 should not be used. The subscription types are Metering subscription, and Consumption subscription.",kivenkat@microsoft.com,,,Virtual Machines,azs-1046,,active,Common,"If you have resources running on these two subscriptions, recreate them in user subscriptions.",Active,Active,,Administrative subscriptions,,,1910642,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,9b76b38e-e9b0-ea11-a812-000d3a54663d,"When creating a new virtual machine, you may receive an error such as This subscription is at capacity for Total Regional vCPUs on this location. This subscription is using all 50 Total Regional vCPUs available. . This indicates that the quota for total cores available to you has been reached.",kivenkat@microsoft.com,,,Virtual Machines,azs-1007,,active,Rare,Ask your operator for an add-on plan with additional quota. Editing the current plan&#39;s quota will not work or reflect increased quota.,Active,Active,,Consumed compute quota,,,1893395,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,9776b38e-e9b0-ea11-a812-000d3a54663d,"When trying to start a stop-deallocated virtual machine,the following error might be displayed: VM diagnostics Storage account &#39;diagnosticstorageaccount&#39; not found. Ensure storage account is not deleted . The error occurs if you attempt to start a VM with boot diagnostics enabled, but the referenced boot diagnostics storage account is deleted.",kivenkat@microsoft.com,,,Virtual Machines,azs-1006,,active,Common,Recreate the storage account with the same name you used previously.,Active,Active,,VM boot diagnostics 2,,,1893394,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,9676b38e-e9b0-ea11-a812-000d3a54663d,"When creating a new virtual machine (VM), the following error might be displayed: Failed to start virtual machine &#39;vm-name&#39;. Error: Failed to update serial output settings for VM &#39;vm-name&#39; . The error occurs if you enable boot diagnostics on a VM, but delete your boot diagnostics storage account.",kivenkat@microsoft.com,,,Virtual Machines,azs-1005,,active,Common,Recreate the storage account with the same name you used previously.,Active,Active,,VM boot diagnostics 1,,,1893393,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to 2002 and later.,Operator,9576b38e-e9b0-ea11-a812-000d3a54663d,"When going through the VM creation experience, you will see the VM size: NV4as_v4. Customers who have the hardware required for the AMD Mi25-based Azure Stack Hub GPU preview are able to have a successful VM deployment. All other customers will have a failed VM deployment with this VM size.",kivenkat@microsoft.com,,,Virtual Machines,azs-1004,,active,NA,By design in preparation for the Azure Stack Hub GPU preview.,Active,Active,,NVv4 VM size on portal,,,1893392,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all releases.,Operator,9476b38e-e9b0-ea11-a812-000d3a54663d,"When viewing details of a VM in the overview blade, the computer name shows as (not available) . This is by design for VMs created from specialized disks/disk snapshots.",kivenkat@microsoft.com,,,Virtual Machines,azs-1003,,active,NA,View the Properties blade under Settings .,Active,Active,,VM overview blade does not show correct computer name,,,1893391,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to the 2002 release.,Operator,8376b38e-e9b0-ea11-a812-000d3a54663d,"There is a portal bug that prevents VMSS creation with the Standard_DS2_v2 VM size. Creating one will error out with: &#34;{&#34;code&#34;:&#34;DeploymentFailed&#34;,&#34;message&#34;:&#34;At least one resource deployment operation failed. Please list deployment operations for details. Please see https://aka.ms/arm-debug for usage details.&#34;,&#34;details&#34;:[{&#34;code&#34;:&#34;BadRequest&#34;,&#34;message&#34;:&#34;{\r\n \&#34;error\&#34;: {\r\n \&#34;code\&#34;: \&#34;NetworkProfileValidationError\&#34;,\r\n \&#34;message\&#34;: \&#34;Virtual Machine size Standard_DS2_v2 is not in the allowed list of VM sizes for accelerated networking to be enabled on the VM at index 0 for VM Scale Set /subscriptions/x/resourceGroups/RGVMSS/providers/Microsoft.Compute/virtualMachineScaleSets/vmss. Allowed sizes: .\&#34;\r\n }\r\n}&#34;}]}&#34;",kivenkat@microsoft.com,,,Virtual Machines,azs-1002,,active,Common,Create a VMSS with PowerShell or a resource manager template.,Active,Active,,Cannot create a VMSS with Standard_DS2_v2 VM size on portal,,,1893390,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,aabc45b7-ebb0-ea11-a812-000d3a5465d8,"When attempting to install the 1907 Azure Stack Hub update, the status for the update might fail and change state to PreparationFailed . This is caused by the update resource provider (URP) being unable to properly transfer the files from the storage container to an internal infrastructure share for processing.",avishwan@microsoft.com,,,Patch and Update,azs-1071,,active,Common,"Starting with version 1901 (1.1901.0.95), you can work around this issue by clicking Update now again (not Resume ). The URP then cleans up the files from the previous attempt, and restarts the download. If the problem persists, we recommend manually uploading the update package by following the Import and install updates section .",Active,Active,,Update fails,,,1893389,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,a9bc45b7-ebb0-ea11-a812-000d3a5465d8,"When attempting to install the Azure Stack Hub update, the status for the update might fail and change state to PreparationFailed . This is caused by the update resource provider (URP) being unable to properly transfer the files from the storage container to an internal infrastructure share for processing.",avishwan@microsoft.com,,,Patch and Update,azs-1070,,active,Common,"Starting with version 1901 (1.1901.0.95), you can work around this issue by clicking Update now again (not Resume ). The URP then cleans up the files from the previous attempt, and restarts the download. If the problem persists, we recommend manually uploading the update package by following the Install updates section .",Active,Active,,Update fails,,,1893388,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to release 2002 release.,Operator,a8bc45b7-ebb0-ea11-a812-000d3a5465d8,"After applying the 2002 update, an alert for an &#34;Invalid Time Source&#34; may incorrectly appear in the Administrator portal. This false-positive alert can be ignored and will be fixed in an upcoming release.",avishwan@microsoft.com,,,Patch and Update,azs-1069,,active,Common,"For other known Azure Stack Hub update issues, please see Troubleshooting Updates in Azure Stack Hub.",Active,Active,,Alert for invalidate time source,,,1893387,9983ac35-72a8-ea11-a812-000d3a579c66
