ms.issue-id,author,ms.service,ms.topic,ms.date,ms.author,ms.reviewer,ms.lastreviewed,ms.sub-service,applicable,cause,remediation,occurrence
azs-1002,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to the 2002 release.,"There is a portal bug that prevents VMSS creation with the Standard_DS2_v2 VM size. Creating one will error out with: ""{""code"":""DeploymentFailed"",""message"":""At least one resource deployment operation failed. Please list deployment operations for details. Please see https://aka.ms/arm-debug for usage details."",""details"":[{""code"":""BadRequest"",""message"":""{\r\n \""error\"": {\r\n \""code\"": \""NetworkProfileValidationError\"",\r\n \""message\"": \""Virtual Machine size Standard_DS2_v2 is not in the allowed list of VM sizes for accelerated networking to be enabled on the VM at index 0 for VM Scale Set /subscriptions/x/resourceGroups/RGVMSS/providers/Microsoft.Compute/virtualMachineScaleSets/vmss. Allowed sizes: .\""\r\n }\r\n}""}]}""",Create a VMSS with PowerShell or a resource manager template.,Common
azs-1003,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to all releases.,"When viewing details of a VM in the overview blade, the computer name shows as (not available) . This is by design for VMs created from specialized disks/disk snapshots.",View the Properties blade under Settings .,nan
azs-1004,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to 2002 and later.,"When going through the VM creation experience, you will see the VM size: NV4as_v4. Customers who have the hardware required for the AMD Mi25-based Azure Stack Hub GPU preview are able to have a successful VM deployment. All other customers will have a failed VM deployment with this VM size.",By design in preparation for the Azure Stack Hub GPU preview.,nan
azs-1005,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to all supported releases.,"When creating a new virtual machine (VM), the following error might be displayed: Failed to start virtual machine 'vm-name'. Error: Failed to update serial output settings for VM 'vm-name' . The error occurs if you enable boot diagnostics on a VM, but delete your boot diagnostics storage account.",Recreate the storage account with the same name you used previously.,Common
azs-1006,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to all supported releases.,"When trying to start a stop-deallocated virtual machine,the following error might be displayed: VM diagnostics Storage account 'diagnosticstorageaccount' not found. Ensure storage account is not deleted . The error occurs if you attempt to start a VM with boot diagnostics enabled, but the referenced boot diagnostics storage account is deleted.",Recreate the storage account with the same name you used previously.,Common
azs-1007,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to all supported releases.,"When creating a new virtual machine, you may receive an error such as This subscription is at capacity for Total Regional vCPUs on this location. This subscription is using all 50 Total Regional vCPUs available. . This indicates that the quota for total cores available to you has been reached.",Ask your operator for an add-on plan with additional quota. Editing the current plan's quota will not work or reflect increased quota.,Rare
azs-1008,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to all supported releases.,Creating VMs in an availability set of 3 fault domains and creating a virtual machine scale set instance fails with a FabricVmPlacementErrorUnsupportedFaultDomainSize error during the update process on a 4-node Azure Stack Hub environment.,"You can create single VMs in an availability set with 2 fault domains successfully. However, scale set instance creation is still not available during the update process on a 4-node Azure Stack Hub deployment.",nan
azs-1009,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to 2002.,"When configuring the automated backup of SQL VMs with a new storage account, it fails with the error Deployment template validation failed. The template parameter for 'SqlAutobackupStorageAccountKind' is not found.",Apply the latest 2002 hotfix.,nan
azs-1010,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,"This issue applies to new installations of 2002 and later, or any previous release with TLS 1.2 enabled.","When configuring the automated backup of SQL VMs with an existing storage account, it fails with the error SQL Server IaaS Agent: The underlying connection was closed: An unexpected error occurred on a send.",nan,Common
azs-1011,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to all supported releases.,"When creating a new Windows virtual machine (VM), the following error might be displayed: Failed to start virtual machine 'vm-name'. Error: Failed to update serial output settings for VM 'vm-name' . The error occurs if you enable boot diagnostics on a VM, but delete your boot diagnostics storage account.",Recreate the storage account with the same name you used previously.,Common
